"","TICKER_LIST","last_trade_price"
"1","A","156.41"
"2","B","44.19"
"3","C","66.99"
"4","D","76.53"
"5","E","29.24"
"6","F","19.29"
"7","G","50.55"
"8","H","91.5"
"9","J","142.63"
"10","K","62.56"
"11","L","57.22"
"12","M","31.34"
"13","O","71.77"
"14","R","87.08"
"15","S","66.91"
"16","T","25.1"
"17","U","151.96"
"18","V","216.67"
"19","W","246.22"
"20","X","26.17"
"21","Y","673.05"
"22","Z","66.05"
"23","AA","47.86"
"24","AB","56.6"
"25","AC","37.99"
"26","AE","30.42"
"27","AG","13.42"
"28","AI","48.31"
"29","AL","48.99"
"30","AM","10.78"
"31","AN","123.65"
"32","AP","5.02"
"33","AR","20.99"
"34","AU","18.89"
"35","AX","60.19"
"36","AY","39.81"
"37","BA","224.46"
"38","BB","11.05"
"39","BC","100.19"
"40","BE","32"
"41","BG","92.92"
"42","BH","165.96"
"43","BJ","61.98"
"44","BK","58.82"
"45","BL","129.37"
"46","BP","27.85"
"47","BQ","1.88"
"48","BR","173.81"
"49","BV","16.77"
"50","BW","7.5"
"51","BX","142.55"
"52","BY","27.57"
"53","BZ","35.2"
"54","CB","193.19"
"55","CC","32.56"
"56","CD","8.98"
"57","CE","169.4"
"58","CF","59.2"
"59","CG","59.83"
"60","CI","214.12"
"61","CL","77.84"
"62","CM","119.5"
"63","CN","40.5925"
"64","CO","4.49"
"65","CP","76.71"
"66","CR","106.2"
"67","CS","10.23"
"68","CW","135.96"
"69","CX","6.34"
"70","DB","12.86"
"71","DD","80.4"
"72","DE","355.2"
"73","DG","225.63"
"74","DH","41.83"
"75","DK","18.4"
"76","DM","8.61"
"77","DQ","65.92"
"78","DS","2.82"
"79","DT","76.3"
"80","DV","33.17"
"81","DX","17.98"
"82","DY","83.99"
"83","EA","139.57"
"84","EB","21.89"
"85","EC","14.89"
"86","ED","78.21"
"87","EH","24.84"
"88","EL","349.5"
"89","EM","2.61"
"90","EQ","6.51"
"91","ES","84.41"
"92","ET","9.3"
"93","EW","118.65"
"94","FA","21.05"
"95","FB","341.13"
"96","FC","45.16"
"97","FE","39.07"
"98","FF","7.81"
"99","FL","52.94"
"100","FM","36.15"
"101","FN","120.42"
"102","FR","59.75"
"103","FT","8.17"
"104","FV","50.79"
"105","GB","9.5"
"106","GD","201"
"107","GE","108.74"
"108","GF","20.3"
"109","GH","110.19"
"110","GK","28.1"
"111","GL","94.85"
"112","GM","58.52"
"113","GO","23.32"
"114","GP","14.31"
"115","GS","407.08"
"116","GT","24.14"
"117","HA","23.23"
"118","HD","368.4"
"119","HE","41.32"
"120","HI","49.06"
"121","HL","5.99"
"122","HP","34.32"
"123","HR","32.73"
"124","HT","11.21"
"125","HX","4.33"
"126","HY","44.17"
